subject,vt1_true_W,vt1_pred_W,vt1_err_W,vt1_pred_HR,vt2_true_W,vt2_pred_W,vt2_err_W,vt2_pred_HR
1,50.0,65.0,15.0,146,140.0,110.0,30.0,173.0
2,80.0,65.0,15.0,138,127.0,,,
3,155.0,140.0,15.0,131,300.0,260.0,40.0,173.0
4,215.0,170.0,45.0,148,275.0,260.0,15.0,180.0
5,110.0,65.0,45.0,121,172.0,215.0,43.0,171.0
6,131.0,155.0,24.0,147,186.0,,,
7,65.0,125.0,60.0,170,108.0,,,
8,80.0,95.0,15.0,140,133.0,,,
9,50.0,65.0,15.0,149,125.0,155.0,30.0,182.0
10,101.0,125.0,24.0,165,162.0,140.0,22.0,175.0
11,174.0,125.0,49.0,140,268.0,,,
12,170.0,185.0,15.0,148,294.0,230.0,64.0,165.0
13,144.0,185.0,41.0,147,267.0,185.0,82.0,147.0
14,140.0,155.0,15.0,159,170.0,,,
15,125.0,140.0,15.0,160,156.0,140.0,16.0,160.0
16,79.0,140.0,61.0,154,175.0,200.0,25.0,177.0
17,101.0,125.0,24.0,173,145.0,,,
18,65.0,140.0,75.0,170,168.0,,,
